id_evento,fecha_hora,producto,stock,sucursal,categoria,unidad,costo_unitario
I-603AD5B5C9,2026-09-11 17:52:12,Tarta de frutas,100,Sur,Pasteles,pza,155.0
I-0D1EB6011A,2026-09-11 17:52:13,Cheesecake de frutos rojos,31,Norte,Pasteles,pza,170.0
I-C3B52364C6,2026-09-11 17:52:13,Pastel de chocolate,35,Sur,Pasteles,pza,150.0
I-BAD97B99FD,2026-09-11 17:52:14,Cheesecake de frutos rojos,27,Norte,Pasteles,pza,170.0
I-77B68AEA29,2026-09-11 17:52:14,Eclair de cafe,56,Plaza Obelie,Petit fours,pza,16.0
I-C2EED75D46,2026-09-11 17:52:15,Baguette tradicional,82,Sur,Panaderia,pza,9.0
I-5E7C58B2B4,2026-09-11 17:52:16,Cheesecake de frutos rojos,103,Plaza Obelie,Pasteles,pza,170.0
I-7F224AF557,2026-09-11 17:52:16,Macaron mixto,87,Plaza Obelie,Petit fours,pza,10.0
I-4A3F57B064,2026-09-11 17:52:17,Eclair de cafe,68,Sur,Petit fours,pza,16.0
I-E77AC51722,2026-09-11 17:52:18,Tarta de frutas,112,Sur,Pasteles,pza,155.0
I-1DBBBF079B,2026-09-11 17:52:18,Pastel de chocolate,37,Sur,Pasteles,pza,150.0
I-7E49AED0C2,2026-09-11 17:52:19,Eclair de cafe,57,Centro,Petit fours,pza,16.0
I-5211A18EE5,2026-09-11 17:52:19,Croissant de almendra,86,Plaza Obelie,Viennoiserie,pza,18.0
I-453BE55DFA,2026-09-11 17:52:20,Galleta de mantequilla,22,Plaza Obelie,Reposteria,pza,6.0
I-15126EA1A2,2026-09-11 17:52:20,Galleta de mantequilla,93,Norte,Reposteria,pza,6.0
I-36AFF12C21,2026-09-11 17:52:21,Baguette tradicional,43,Plaza Obelie,Panaderia,pza,9.0
I-E9FCD11E4B,2026-09-11 17:52:21,Macaron mixto,83,Plaza Obelie,Petit fours,pza,10.0
I-802C82A9D4,2026-09-11 17:52:22,Macaron mixto,46,Sur,Petit fours,pza,10.0
I-B5438CE891,2026-09-11 17:52:22,Cheesecake de frutos rojos,35,Norte,Pasteles,pza,170.0
I-3AC8BE1E98,2026-09-11 17:52:23,Galleta de mantequilla,110,Sur,Reposteria,pza,6.0
I-C3658784D2,2026-09-11 17:52:24,Brownie nogada,87,Sur,Reposteria,pza,20.0
I-B28544DB96,2026-09-11 17:52:24,Galleta de mantequilla,37,Centro,Reposteria,pza,6.0
I-13F2775B54,2026-09-11 17:52:25,Cheesecake de frutos rojos,39,Norte,Pasteles,pza,170.0
I-56E4ADB17F,2026-09-11 17:52:25,Brownie nogada,28,Norte,Reposteria,pza,20.0
I-D2571EC745,2026-09-11 17:52:26,Cheesecake de frutos rojos,50,Sur,Pasteles,pza,170.0
I-36FF4C5771,2026-09-11 17:52:27,Pastel de chocolate,33,Sur,Pasteles,pza,150.0
I-CD8D86B0C9,2026-09-11 17:52:27,Eclair de cafe,35,Norte,Petit fours,pza,16.0
I-F69E036356,2026-09-11 17:52:28,Pastel de chocolate,31,Norte,Pasteles,pza,150.0
I-518E7AAC8C,2026-09-11 17:52:29,Brownie nogada,53,Plaza Obelie,Reposteria,pza,20.0
I-0C18BE4717,2026-09-11 17:52:29,Baguette tradicional,87,Sur,Panaderia,pza,9.0
I-1D7BFBC0B0,2026-09-11 17:52:29,Macaron mixto,80,Plaza Obelie,Petit fours,pza,10.0
I-1CB5E4A10F,2026-09-11 17:52:30,Macaron mixto,11,Norte,Petit fours,pza,10.0
I-FA37B1B7EA,2026-09-11 17:52:30,Macaron mixto,54,Sur,Petit fours,pza,10.0
I-02A6D73107,2026-09-11 17:52:31,Rol de canela,37,Centro,Viennoiserie,pza,15.0
I-1A3048A184,2026-09-11 17:52:32,Croissant de almendra,31,Norte,Viennoiserie,pza,18.0
I-352FDDC203,2026-09-11 17:52:32,Rol de canela,75,Plaza Obelie,Viennoiserie,pza,15.0
I-393DF94DE0,2026-09-11 17:52:33,Croissant de almendra,56,Sur,Viennoiserie,pza,18.0
I-29514CE92D,2026-09-11 17:52:34,Baguette tradicional,90,Norte,Panaderia,pza,9.0
I-B59D273905,2026-09-11 17:52:34,Brownie nogada,79,Sur,Reposteria,pza,20.0
I-E8FDC4F67A,2026-09-11 17:52:35,Croissant de almendra,28,Norte,Viennoiserie,pza,18.0
I-B59A4B4EA6,2026-09-11 17:52:36,Eclair de cafe,55,Centro,Petit fours,pza,16.0
I-76614E63B8,2026-09-11 17:52:36,Baguette tradicional,87,Norte,Panaderia,pza,9.0
I-9D27D0E85C,2026-09-11 17:52:37,Galleta de mantequilla,118,Sur,Reposteria,pza,6.0
I-3ECC8CAD5C,2026-09-11 17:52:38,Cheesecake de frutos rojos,62,Centro,Pasteles,pza,170.0
I-22D2108DB7,2026-09-11 17:52:38,Galleta de mantequilla,122,Sur,Reposteria,pza,6.0
I-59CCAF8644,2026-09-11 17:52:39,Rol de canela,96,Norte,Viennoiserie,pza,15.0
I-B3AFE0BF25,2026-09-11 17:52:39,Pastel de chocolate,29,Norte,Pasteles,pza,150.0
I-E11B0A7FF9,2026-09-11 17:52:40,Pastel de chocolate,33,Sur,Pasteles,pza,150.0
I-39D7A53654,2026-09-11 17:52:40,Rol de canela,71,Sur,Viennoiserie,pza,15.0
I-23CFFFB160,2026-09-11 17:52:41,Galleta de mantequilla,102,Norte,Reposteria,pza,6.0
I-80D82F35FA,2026-09-11 17:52:41,Cheesecake de frutos rojos,99,Plaza Obelie,Pasteles,pza,170.0
I-F8B338267D,2026-09-11 17:52:42,Galleta de mantequilla,134,Sur,Reposteria,pza,6.0
I-EA49B9EE65,2026-09-11 17:52:42,Croissant de almendra,20,Norte,Viennoiserie,pza,18.0
I-B1E6929361,2026-09-11 17:52:43,Baguette tradicional,98,Norte,Panaderia,pza,9.0
I-9D66A5B7B6,2026-09-11 17:52:43,Tarta de frutas,34,Norte,Pasteles,pza,155.0
I-780E953E58,2026-09-11 17:52:44,Tarta de frutas,112,Sur,Pasteles,pza,155.0
I-4E9A051F1E,2026-09-11 17:52:44,Macaron mixto,42,Centro,Petit fours,pza,10.0
I-FE96B5D7A5,2026-09-11 17:52:45,Brownie nogada,62,Centro,Reposteria,pza,20.0
I-75F688EF0B,2026-09-11 17:52:46,Macaron mixto,39,Centro,Petit fours,pza,10.0
I-9F4045231D,2026-09-11 17:52:46,Eclair de cafe,71,Sur,Petit fours,pza,16.0
I-A8D72263C4,2026-09-11 17:52:47,Rol de canela,75,Sur,Viennoiserie,pza,15.0
I-7F70F7BFCE,2026-09-11 17:52:48,Croissant de almendra,89,Centro,Viennoiserie,pza,18.0
I-46CCB498F2,2026-09-11 17:52:48,Macaron mixto,43,Centro,Petit fours,pza,10.0
I-CBEFDD2543,2026-09-11 17:52:49,Croissant de almendra,31,Norte,Viennoiserie,pza,18.0
I-D28B2444D9,2026-09-11 17:52:50,Cheesecake de frutos rojos,58,Centro,Pasteles,pza,170.0
I-D7E1DB2827,2026-09-11 17:52:50,Rol de canela,80,Sur,Viennoiserie,pza,15.0
I-260CCD1DA9,2026-09-11 17:52:51,Macaron mixto,6,Norte,Petit fours,pza,10.0
I-AE89909B52,2026-09-11 17:52:51,Cheesecake de frutos rojos,42,Norte,Pasteles,pza,170.0
I-90BEF36200,2026-09-11 17:52:52,Pastel de chocolate,27,Norte,Pasteles,pza,150.0
I-EE45D04ADB,2026-09-11 17:52:52,Tarta de frutas,29,Norte,Pasteles,pza,155.0
I-72A0B0B1D3,2026-09-11 17:52:53,Galleta de mantequilla,15,Plaza Obelie,Reposteria,pza,6.0
I-E138453D33,2026-09-11 17:52:54,Brownie nogada,46,Plaza Obelie,Reposteria,pza,20.0
I-8B97D5CDDF,2026-09-11 17:52:54,Tarta de frutas,15,Plaza Obelie,Pasteles,pza,155.0
I-8D6B39A8FD,2026-09-11 17:52:55,Croissant de almendra,26,Norte,Viennoiserie,pza,18.0
I-C9AA6CD25B,2026-09-11 17:52:55,Galleta de mantequilla,46,Centro,Reposteria,pza,6.0
I-7BADA95AC3,2026-09-11 17:52:56,Croissant de almendra,52,Sur,Viennoiserie,pza,18.0
I-4BB7262FBB,2026-09-11 17:52:56,Cheesecake de frutos rojos,46,Sur,Pasteles,pza,170.0
I-79BA76D285,2026-09-11 17:52:57,Rol de canela,76,Sur,Viennoiserie,pza,15.0
I-C156E087CF,2026-09-11 17:52:58,Tarta de frutas,47,Centro,Pasteles,pza,155.0
I-397843FC16,2026-09-11 17:52:58,Eclair de cafe,64,Sur,Petit fours,pza,16.0
I-F48CB06A69,2026-09-11 17:52:59,Galleta de mantequilla,39,Centro,Reposteria,pza,6.0
I-11E10B06BD,2026-09-11 17:53:00,Rol de canela,97,Norte,Viennoiserie,pza,15.0
I-EB8AEBE416,2026-09-11 17:53:00,Rol de canela,87,Plaza Obelie,Viennoiserie,pza,15.0
I-8C738EFF28,2026-09-11 17:53:01,Tarta de frutas,115,Sur,Pasteles,pza,155.0
I-80172E08AC,2026-09-11 17:53:02,Galleta de mantequilla,51,Centro,Reposteria,pza,6.0
I-FF2C93AAEC,2026-09-11 17:53:02,Baguette tradicional,48,Centro,Panaderia,pza,9.0
I-DC070A9D78,2026-09-11 17:53:03,Macaron mixto,77,Plaza Obelie,Petit fours,pza,10.0
I-ECB9F01CEF,2026-09-11 17:53:04,Cheesecake de frutos rojos,99,Plaza Obelie,Pasteles,pza,170.0
I-AF1F66A3AA,2026-09-11 17:53:04,Galleta de mantequilla,99,Norte,Reposteria,pza,6.0
I-A3BC4204E9,2026-09-11 17:53:05,Eclair de cafe,65,Centro,Petit fours,pza,16.0
I-4035168299,2026-09-11 17:53:06,Macaron mixto,13,Norte,Petit fours,pza,10.0
I-F7C9DFAA99,2026-09-11 17:53:06,Eclair de cafe,73,Centro,Petit fours,pza,16.0
I-87185EDAC0,2026-09-11 17:53:07,Cheesecake de frutos rojos,86,Norte,Pasteles,pza,170.0
I-655B334C56,2026-09-11 17:53:07,Baguette tradicional,36,Plaza Obelie,Panaderia,pza,9.0
I-8F0700B115,2026-09-11 17:53:08,Galleta de mantequilla,18,Plaza Obelie,Reposteria,pza,6.0
I-D5C6AE9BD6,2026-09-11 17:53:08,Brownie nogada,65,Norte,Reposteria,pza,20.0
I-86B5433AFD,2026-09-11 17:53:08,Macaron mixto,20,Norte,Petit fours,pza,10.0
I-0D2F7AC4CB,2026-09-11 17:53:09,Macaron mixto,56,Norte,Petit fours,pza,10.0
I-DD03D66FDC,2026-09-11 17:53:09,Tarta de frutas,42,Centro,Pasteles,pza,155.0
I-ECD7D167DD,2026-09-11 17:53:09,Tarta de frutas,121,Sur,Pasteles,pza,155.0
I-B59C06FBCD,2026-09-11 17:53:09,Macaron mixto,54,Norte,Petit fours,pza,10.0
I-29E393FC0E,2026-09-11 17:53:10,Macaron mixto,52,Norte,Petit fours,pza,10.0
I-03A4A6ABC6,2026-09-11 17:53:10,Rol de canela,97,Plaza Obelie,Viennoiserie,pza,15.0
I-F28CE7D2F8,2026-09-11 17:53:10,Cheesecake de frutos rojos,33,Sur,Pasteles,pza,170.0
I-1030053D12,2026-09-11 17:53:11,Rol de canela,32,Centro,Viennoiserie,pza,15.0
I-8FA39F46EE,2026-09-11 17:53:11,Pastel de chocolate,33,Sur,Pasteles,pza,150.0
I-C7254FD1D3,2026-09-11 17:53:11,Baguette tradicional,39,Norte,Panaderia,pza,9.0
I-B8FFD03E18,2026-09-11 17:53:11,Brownie nogada,79,Sur,Reposteria,pza,20.0
I-B50E4928EA,2026-09-11 17:53:11,Croissant de almendra,25,Sur,Viennoiserie,pza,18.0
I-5017107A9F,2026-09-11 17:53:12,Baguette tradicional,52,Centro,Panaderia,pza,9.0
I-2ED8B4DF05,2026-09-11 17:53:12,Macaron mixto,43,Sur,Petit fours,pza,10.0
I-20FD80D224,2026-09-11 17:53:12,Cheesecake de frutos rojos,51,Sur,Pasteles,pza,170.0
I-368E835935,2026-09-11 17:53:12,Galleta de mantequilla,38,Norte,Reposteria,pza,6.0
I-3CB3E50BEF,2026-09-11 17:53:13,Cheesecake de frutos rojos,65,Centro,Pasteles,pza,170.0
I-2EB323931B,2026-09-11 17:53:13,Baguette tradicional,75,Sur,Panaderia,pza,9.0
I-3E5ADFABC1,2026-09-11 17:53:13,Brownie nogada,25,Norte,Reposteria,pza,20.0
I-D042530FD4,2026-09-11 17:53:13,Pastel de chocolate,43,Norte,Pasteles,pza,150.0
I-E926D468A1,2026-09-11 17:53:14,Baguette tradicional,30,Plaza Obelie,Panaderia,pza,9.0
I-1148DB070C,2026-09-11 17:53:14,Baguette tradicional,80,Sur,Panaderia,pza,9.0
I-7128B4DD93,2026-09-11 17:53:14,Tarta de frutas,124,Sur,Pasteles,pza,155.0
I-EFB3E96CD2,2026-09-11 17:53:15,Croissant de almendra,80,Plaza Obelie,Viennoiserie,pza,18.0
I-1E8912B801,2026-09-11 17:53:15,Brownie nogada,74,Centro,Reposteria,pza,20.0
I-6AF8A74677,2026-09-11 17:53:15,Baguette tradicional,63,Plaza Obelie,Panaderia,pza,9.0
I-DDC708DFEF,2026-09-11 17:53:15,Eclair de cafe,74,Sur,Petit fours,pza,16.0
I-1EDB677898,2026-09-11 17:53:16,Galleta de mantequilla,101,Norte,Reposteria,pza,6.0
I-4169889CCE,2026-09-11 17:53:16,Baguette tradicional,64,Plaza Obelie,Panaderia,pza,9.0
I-E689A94D26,2026-09-11 17:53:16,Galleta de mantequilla,43,Centro,Reposteria,pza,6.0
I-25B70514AC,2026-09-11 17:53:16,Macaron mixto,83,Plaza Obelie,Petit fours,pza,10.0
I-CEC15381F7,2026-09-11 17:53:17,Pastel de chocolate,25,Plaza Obelie,Pasteles,pza,150.0
I-8E9902702B,2026-09-11 17:53:17,Tarta de frutas,18,Plaza Obelie,Pasteles,pza,155.0
I-E724AF18B7,2026-09-11 17:53:17,Eclair de cafe,44,Centro,Petit fours,pza,16.0
I-08153DE5EF,2026-09-11 17:53:18,Cheesecake de frutos rojos,21,Plaza Obelie,Pasteles,pza,170.0
I-7DB8E4F258,2026-09-11 17:53:18,Croissant de almendra,83,Centro,Viennoiserie,pza,18.0
I-C85366457E,2026-09-11 17:53:18,Rol de canela,26,Centro,Viennoiserie,pza,15.0
I-4643115DC3,2026-09-11 17:53:18,Galleta de mantequilla,132,Sur,Reposteria,pza,6.0
I-4ACC529F2D,2026-09-11 17:53:19,Brownie nogada,68,Norte,Reposteria,pza,20.0
I-8E636F5425,2026-09-11 17:53:19,Cheesecake de frutos rojos,73,Centro,Pasteles,pza,170.0
I-C7B4EE74A9,2026-09-11 17:53:20,Eclair de cafe,60,Plaza Obelie,Petit fours,pza,16.0
I-7D198008EF,2026-09-11 17:53:20,Croissant de almendra,19,Sur,Viennoiserie,pza,18.0
I-9F67F17A22,2026-09-11 17:53:20,Tarta de frutas,33,Norte,Pasteles,pza,155.0
I-491F7E701B,2026-09-11 17:53:20,Cheesecake de frutos rojos,23,Plaza Obelie,Pasteles,pza,170.0
I-7AEAD73E26,2026-09-11 17:53:21,Tarta de frutas,26,Norte,Pasteles,pza,155.0
I-DD4AB8B225,2026-09-11 17:53:21,Cheesecake de frutos rojos,47,Centro,Pasteles,pza,170.0
I-63E7754DD6,2026-09-11 17:53:21,Brownie nogada,85,Sur,Reposteria,pza,20.0
I-95621995F2,2026-09-11 17:53:21,Rol de canela,58,Sur,Viennoiserie,pza,15.0
I-DF2BE1E481,2026-09-11 17:53:22,Brownie nogada,95,Sur,Reposteria,pza,20.0
I-EB2F1FFDF6,2026-09-11 17:53:22,Eclair de cafe,57,Plaza Obelie,Petit fours,pza,16.0
I-F4DA677CED,2026-09-11 17:53:22,Macaron mixto,50,Centro,Petit fours,pza,10.0
I-E64AABA7B0,2026-09-11 17:53:22,Croissant de almendra,88,Plaza Obelie,Viennoiserie,pza,18.0
I-73BA722D99,2026-09-11 17:53:23,Eclair de cafe,40,Centro,Petit fours,pza,16.0
I-E64D11BBF4,2026-09-11 17:53:23,Brownie nogada,74,Centro,Reposteria,pza,20.0
I-755A83E0FC,2026-09-11 17:53:23,Macaron mixto,52,Plaza Obelie,Petit fours,pza,10.0
I-F35D42CAC0,2026-09-11 17:53:23,Macaron mixto,54,Sur,Petit fours,pza,10.0
I-5B04190558,2026-09-11 17:53:24,Galleta de mantequilla,46,Norte,Reposteria,pza,6.0
