id_pago,id_venta,fecha_hora,metodo_pago,monto,estado,referencia
P-6CC861B043,V-8ECDBC9763,2026-09-11 17:51:41,efectivo,210.0,aprobado,REF-C97DA410
P-C00042EE79,V-1E4EC59A59,2026-09-11 17:51:42,transferencia,28.0,aprobado,REF-97EB33C9
P-43D99D7C86,V-F7BD5461A4,2026-09-11 17:51:43,efectivo,2280.0,aprobado,REF-7914F412
P-03DF2D77B7,V-A59E8B7C40,2026-09-11 17:51:43,efectivo,1260.0,aprobado,REF-6F78D565
P-F9A989E769,V-13FB3BB48A,2026-09-11 17:51:43,vale,96.0,aprobado,REF-9B07B69F
P-0F7CBDC2E3,V-368AF6BC1D,2026-09-11 17:51:44,transferencia,84.0,aprobado,REF-AF18A90B
P-F46E53E7DC,V-D0246A16BF,2026-09-11 17:51:44,transferencia,48.0,aprobado,REF-0077F1BD
P-881AB31F5A,V-F0E0B2CF75,2026-09-11 17:51:45,vale,32.0,aprobado,REF-EE0D746C
P-4747AF1CB4,V-B35158A895,2026-09-11 17:51:46,vale,1260.0,pendiente,REF-6D2F84F6
P-260906289B,V-AFD13402F0,2026-09-11 17:51:46,vale,780.0,aprobado,REF-AC124F24
P-D183993150,V-50B53205E2,2026-09-11 17:51:47,tarjeta,225.0,aprobado,REF-ADD4D8AD
P-8674140734,V-D8964913FA,2026-09-11 17:51:48,vale,252.0,pendiente,REF-4D7568E5
P-F779F6B958,V-36E911BB2E,2026-09-11 17:51:48,efectivo,1170.0,pendiente,REF-E82895ED
P-AEBDDC75C7,V-6DAABF2000,2026-09-11 17:51:49,tarjeta,28.0,pendiente,REF-850116D5
P-A217538F36,V-E5A0EF5014,2026-09-11 17:51:49,tarjeta,420.0,aprobado,REF-1BAF37D8
P-C94B69720E,V-512125E96C,2026-09-11 17:51:50,efectivo,275.0,aprobado,REF-3027FE0C
P-33F6EEAAB2,V-E35688D263,2026-09-11 17:51:50,tarjeta,2280.0,pendiente,REF-157A723A
P-0FBA2EB4E8,V-CD6E1BD65C,2026-09-11 17:51:51,efectivo,330.0,aprobado,REF-F5466E66
P-1FBD2345C1,V-4E111FDA21,2026-09-11 17:51:51,transferencia,48.0,aprobado,REF-14021834
P-62806366DB,V-6DD2ECED2D,2026-09-11 17:51:52,vale,225.0,aprobado,REF-99D5FA79
P-2B33FBCA7B,V-94CA3467B1,2026-09-11 17:51:53,tarjeta,90.0,aprobado,REF-1ABAAE03
P-7E6268E59F,V-7458F571C4,2026-09-11 17:51:53,tarjeta,1560.0,aprobado,REF-25777419
P-86CF86A8E7,V-1BD366DFE6,2026-09-11 17:51:54,tarjeta,84.0,aprobado,REF-4F48F941
P-214349CA6B,V-C8566534B9,2026-09-11 17:51:54,transferencia,144.0,aprobado,REF-6727EF8D
P-A568292715,V-654E55E986,2026-09-11 17:51:55,transferencia,72.0,pendiente,REF-BA130DF0
P-865CF9AD28,V-8809EE64A0,2026-09-11 17:51:56,vale,192.0,pendiente,REF-9D8F8692
P-D79EEF26AF,V-EF675F694D,2026-09-11 17:51:57,vale,780.0,aprobado,REF-40B63B9D
P-33425FA6C9,V-B6B75E3A55,2026-09-11 17:51:57,transferencia,390.0,aprobado,REF-1BAFBF7F
P-9268985168,V-FB5156CEFB,2026-09-11 17:51:58,efectivo,128.0,aprobado,REF-74564633
P-4414E6A220,V-3BCE811676,2026-09-11 17:51:58,efectivo,760.0,pendiente,REF-7AC5ABB7
P-EE62F9DC88,V-6E88F9EFF4,2026-09-11 17:51:59,efectivo,2100.0,aprobado,REF-878BADF5
P-0AB4663F08,V-3938047F2C,2026-09-11 17:52:00,tarjeta,192.0,pendiente,REF-384DDFA2
P-7487E4442E,V-29BDA2D911,2026-09-11 17:52:00,efectivo,42.0,aprobado,REF-7E0722FB
P-C976D9007D,V-544ECF793D,2026-09-11 17:52:01,efectivo,1560.0,aprobado,REF-BCB72A38
P-68CB5357DD,V-95A58A93A4,2026-09-11 17:52:02,vale,96.0,aprobado,REF-A0592AD6
P-9BC1B3D3D9,V-5B29F0187C,2026-09-11 17:52:02,transferencia,90.0,aprobado,REF-7F8DFBF4
P-82297DCE3A,V-A276190A6A,2026-09-11 17:52:03,vale,45.0,aprobado,REF-B84FF418
P-C26D7C4EBA,V-7D802370C2,2026-09-11 17:52:03,tarjeta,760.0,aprobado,REF-73FAC0F6
P-1E49128787,V-FC451B69E3,2026-09-11 17:52:04,tarjeta,18.0,aprobado,REF-153D188B
P-7F971E469F,V-BB0486ACC4,2026-09-11 17:52:05,transferencia,240.0,aprobado,REF-75A1E5DA
P-0630D69DBB,V-188A646632,2026-09-11 17:52:05,transferencia,2280.0,aprobado,REF-794385CB
P-567BEFBAB6,V-F0E97183A5,2026-09-11 17:52:06,efectivo,42.0,aprobado,REF-63F9B212
P-C5C0809C67,V-15862CAA4D,2026-09-11 17:52:07,vale,144.0,aprobado,REF-68B923B3
P-A4BC2724D3,V-B51C33DDBE,2026-09-11 17:52:07,efectivo,270.0,aprobado,REF-2697E194
P-CD4A3D8FAC,V-467BE1F9CA,2026-09-11 17:52:08,efectivo,192.0,pendiente,REF-8F154E35
P-5C64E959BE,V-2EA449A45F,2026-09-11 17:52:09,tarjeta,225.0,aprobado,REF-FC8C13F4
P-399D71BB15,V-3243EA9290,2026-09-11 17:52:09,transferencia,135.0,aprobado,REF-F1998A58
P-DF5A5BDC7B,V-0A0F977056,2026-09-11 17:52:10,transferencia,168.0,pendiente,REF-2685C183
P-267440483E,V-1E3C33D446,2026-09-11 17:52:10,efectivo,275.0,aprobado,REF-7F6AC438
P-7C02A53F4A,V-71E0C8AC88,2026-09-11 17:52:11,vale,96.0,pendiente,REF-BCE6DD11
P-C31EE8A7CC,V-0583864424,2026-09-11 17:52:11,efectivo,2520.0,aprobado,REF-B2FBBEBA
P-EBBB3766AB,V-8F9143FD97,2026-09-11 17:52:12,efectivo,1170.0,pendiente,REF-A98C17BC
P-02126B5660,V-D2D6AFF07C,2026-09-11 17:52:12,efectivo,240.0,pendiente,REF-E52F234A
P-5FC1C7AAD8,V-5D1151E478,2026-09-11 17:52:13,efectivo,168.0,aprobado,REF-6036744B
P-429715BF96,V-0A3DD87F16,2026-09-11 17:52:14,vale,144.0,aprobado,REF-3A43680D
P-34F6AB6D03,V-C7A24DF840,2026-09-11 17:52:14,efectivo,1950.0,aprobado,REF-80A9F248
P-C7CAF4CF62,V-AB907EF7A5,2026-09-11 17:52:15,efectivo,1260.0,aprobado,REF-3E43DBB3
P-E84F020AF8,V-2E1D5AF542,2026-09-11 17:52:15,transferencia,36.0,pendiente,REF-981AA1F7
P-CC88A452C5,V-698BD272E7,2026-09-11 17:52:16,vale,18.0,pendiente,REF-6C29FBAA
P-CBFA68925E,V-67B266B9C1,2026-09-11 17:52:16,vale,45.0,aprobado,REF-FFEE5A29
P-29A356BEE7,V-008EE05EC8,2026-09-11 17:52:17,transferencia,330.0,aprobado,REF-4584E8B6
P-464396CE3D,V-BDABA72423,2026-09-11 17:52:17,efectivo,64.0,aprobado,REF-63E2D6C0
P-E3E6E46789,V-A3589020D2,2026-09-11 17:52:18,tarjeta,1950.0,aprobado,REF-5D799E32
P-FDC1C3C14C,V-EBF24A47CB,2026-09-11 17:52:18,vale,168.0,aprobado,REF-9AE82D4B
P-67CA2EB514,V-8222B2AA5E,2026-09-11 17:52:19,tarjeta,32.0,aprobado,REF-24A8944F
P-952437B931,V-8A7C2D672A,2026-09-11 17:52:20,vale,140.0,aprobado,REF-84827CF6
P-8304774013,V-C1105959FD,2026-09-11 17:52:20,efectivo,275.0,aprobado,REF-163961FE
P-B2160B17C1,V-F1DB1D1DD8,2026-09-11 17:52:21,vale,1560.0,aprobado,REF-E27D29BB
P-4999730E8E,V-32A960037E,2026-09-11 17:52:21,vale,160.0,aprobado,REF-27EBEC25
P-E8BE4EF2C3,V-67B6592D1E,2026-09-11 17:52:21,tarjeta,240.0,aprobado,REF-EE65A003
P-64757497A7,V-476B0430F5,2026-09-11 17:52:22,transferencia,760.0,aprobado,REF-E36E183A
P-5A068F8AD9,V-F68408DC8A,2026-09-11 17:52:23,transferencia,110.0,aprobado,REF-8885E648
P-B4804CC704,V-DB4327668A,2026-09-11 17:52:23,vale,42.0,aprobado,REF-3CEC98CC
P-DFE93AE93D,V-F1C496E010,2026-09-11 17:52:24,efectivo,72.0,aprobado,REF-01115F36
P-C046DE1D4E,V-D5308E7A34,2026-09-11 17:52:24,transferencia,2520.0,pendiente,REF-F3522EDA
P-B397B2C1D8,V-ED35DDFF7D,2026-09-11 17:52:25,transferencia,1140.0,aprobado,REF-BA9C166D
P-F30EC0E269,V-15DB3939B8,2026-09-11 17:52:25,transferencia,2100.0,pendiente,REF-A2173D77
P-8602C6BD4D,V-DDCA471A4B,2026-09-11 17:52:26,tarjeta,2280.0,aprobado,REF-3E07365C
P-985C5F6041,V-1ECC415F71,2026-09-11 17:52:27,transferencia,840.0,aprobado,REF-73E60432
P-B128E7E688,V-2E30CAEB86,2026-09-11 17:52:27,vale,192.0,aprobado,REF-0B4231FF
P-2CA2C01291,V-42CB2B31D7,2026-09-11 17:52:28,vale,90.0,aprobado,REF-FD3997C1
P-58A11869AB,V-687D48A126,2026-09-11 17:52:29,tarjeta,36.0,aprobado,REF-CB863E51
P-1D673FF51D,V-15C242331A,2026-09-11 17:52:29,tarjeta,126.0,aprobado,REF-00E27A2F
P-1B3CA377AA,V-5545E5E69F,2026-09-11 17:52:30,transferencia,28.0,pendiente,REF-4A018CE9
P-A348023D31,V-1CE9AA8A22,2026-09-11 17:52:30,efectivo,54.0,pendiente,REF-77F14E75
P-0B986E4AF6,V-A48A718A24,2026-09-11 17:52:31,vale,192.0,aprobado,REF-B1F4F37A
P-192B5964D5,V-63C638C997,2026-09-11 17:52:31,efectivo,84.0,aprobado,REF-1B56ADDD
P-CBE1B6B6CE,V-C96815E83A,2026-09-11 17:52:32,tarjeta,390.0,aprobado,REF-B30943D0
P-485C230DBE,V-D440A09D77,2026-09-11 17:52:32,efectivo,112.0,aprobado,REF-93A7A6EF
P-C3FF261F0A,V-EFC6B26EF2,2026-09-11 17:52:33,tarjeta,45.0,aprobado,REF-6BF8AD28
P-7E583883D0,V-AB055000EB,2026-09-11 17:52:34,tarjeta,760.0,aprobado,REF-A58C432D
P-5135D03BA5,V-E52E469243,2026-09-11 17:52:34,transferencia,28.0,aprobado,REF-666D3410
P-BB0921A39B,V-686B034D25,2026-09-11 17:52:35,tarjeta,225.0,aprobado,REF-F69782B9
P-5D724FFF58,V-29050FE94D,2026-09-11 17:52:36,transferencia,390.0,aprobado,REF-F46D9E02
P-7D80329FFD,V-7951E41334,2026-09-11 17:52:36,transferencia,1140.0,aprobado,REF-77AB50EC
P-04AB165868,V-9E8460A3E6,2026-09-11 17:52:37,vale,90.0,aprobado,REF-F71BEF3B
P-DBC577F1AF,V-1B076F5E40,2026-09-11 17:52:37,vale,270.0,aprobado,REF-8B03070C
P-2D9FCE7EDD,V-6649BA864F,2026-09-11 17:52:38,transferencia,32.0,pendiente,REF-B703ACED
P-CB0FBDFDDA,V-AD9D66E0A7,2026-09-11 17:52:39,tarjeta,110.0,aprobado,REF-BC6C54CF
P-61867E25E7,V-616CCD9B4E,2026-09-11 17:52:39,efectivo,1680.0,aprobado,REF-2F37F553
P-B75CA95362,V-9173E4B7DB,2026-09-11 17:52:40,transferencia,275.0,aprobado,REF-C1C17AD3
P-85072BBC25,V-3B58FEC38B,2026-09-11 17:52:40,efectivo,288.0,aprobado,REF-B7F8F0F7
P-D025CC907A,V-689ABECCBE,2026-09-11 17:52:41,efectivo,275.0,aprobado,REF-32FA217B
P-6253C62F35,V-250BC48F86,2026-09-11 17:52:41,tarjeta,330.0,pendiente,REF-662280C1
P-F0EA36C028,V-EE9F32BA5B,2026-09-11 17:52:42,transferencia,270.0,pendiente,REF-7F09CF7A
P-9663E874A7,V-5F2E023EE6,2026-09-11 17:52:43,tarjeta,90.0,pendiente,REF-01F67836
P-66B70431F4,V-57821E23BD,2026-09-11 17:52:43,tarjeta,84.0,pendiente,REF-B57BE2B3
P-1D58A28866,V-B83A5D5368,2026-09-11 17:52:44,transferencia,112.0,pendiente,REF-53671B99
P-FD18133857,V-B09698802B,2026-09-11 17:52:45,tarjeta,1950.0,pendiente,REF-D04DF7F5
P-DD872A52AA,V-0E6E2BDA8B,2026-09-11 17:52:46,tarjeta,1170.0,aprobado,REF-E6C4F2F4
P-81A3C6B5B3,V-D46E5B0B96,2026-09-11 17:52:46,vale,1900.0,aprobado,REF-ACAEB274
P-11C0232647,V-555C8C61C0,2026-09-11 17:52:47,vale,168.0,pendiente,REF-8C9785FD
P-FEADA040DD,V-3112AE9D9F,2026-09-11 17:52:47,vale,84.0,aprobado,REF-B5C3985C
P-E0976A7E92,V-0D84E78EE8,2026-09-11 17:52:48,vale,90.0,aprobado,REF-543AB5AA
P-3F3B6C04F5,V-81FAD90DCC,2026-09-11 17:52:49,vale,2100.0,aprobado,REF-D66F3920
P-10C3EAFC96,V-64E59F5AEF,2026-09-11 17:52:49,efectivo,2520.0,aprobado,REF-F8B9B1A1
P-551122C5E0,V-A57A831A6B,2026-09-11 17:52:50,transferencia,112.0,aprobado,REF-FC5AF072
P-A65F226C04,V-1938554E1A,2026-09-11 17:52:50,tarjeta,42.0,aprobado,REF-9CF87860
P-F4A5BD6346,V-ED123BB2FA,2026-09-11 17:52:51,tarjeta,54.0,aprobado,REF-418AF4B5
P-46D1295408,V-008365526B,2026-09-11 17:52:51,efectivo,108.0,pendiente,REF-5B6F6E18
P-6FD96AADE8,V-1A144D9C7E,2026-09-11 17:52:52,tarjeta,330.0,aprobado,REF-79D4325B
P-0FEED61333,V-7CA7496985,2026-09-11 17:52:53,transferencia,140.0,pendiente,REF-D144C3D4
P-6608AFD62B,V-066F32C163,2026-09-11 17:52:53,vale,18.0,aprobado,REF-7119BD9B
P-EA6915546A,V-CDC1EDCB73,2026-09-11 17:52:54,transferencia,168.0,aprobado,REF-1ED5050E
P-F34111F5D6,V-3252AA08BA,2026-09-11 17:52:55,transferencia,90.0,pendiente,REF-F9B682FC
P-1096E93443,V-540288DF20,2026-09-11 17:52:55,vale,220.0,aprobado,REF-E770DC94
P-8C7F150E7A,V-FF8488AF84,2026-09-11 17:52:56,tarjeta,225.0,aprobado,REF-9E1F63F7
P-5697A07ED6,V-10995CF9F8,2026-09-11 17:52:56,efectivo,45.0,aprobado,REF-FBE8E254
P-661DC9C935,V-1417AA7534,2026-09-11 17:52:57,efectivo,144.0,aprobado,REF-1931FEC5
P-186D90C9AD,V-2884492EC8,2026-09-11 17:52:57,efectivo,84.0,aprobado,REF-54D9631B
P-CF4854E93B,V-D8F31A4C52,2026-09-11 17:52:58,tarjeta,1680.0,aprobado,REF-18B0FD03
P-6F995AA60E,V-8920295755,2026-09-11 17:52:59,vale,144.0,pendiente,REF-775AC204
P-E3EEBC9F19,V-F2B6F8ADB5,2026-09-11 17:52:59,transferencia,380.0,pendiente,REF-2FC9792B
P-3225E64345,V-B8CC1D829D,2026-09-11 17:53:00,efectivo,165.0,pendiente,REF-38C212A1
P-42084CE866,V-8B720EA078,2026-09-11 17:53:00,transferencia,1560.0,pendiente,REF-BC48E79F
P-FC7E7B2993,V-AD5D44B69C,2026-09-11 17:53:01,vale,330.0,aprobado,REF-94E5A388
P-B5C537EC01,V-A53A6900A4,2026-09-11 17:53:01,tarjeta,2280.0,aprobado,REF-9AAD0B16
P-C0BBCE8417,V-E09B7CE339,2026-09-11 17:53:02,vale,160.0,pendiente,REF-F0D4CC8B
P-32471C00F2,V-906249D661,2026-09-11 17:53:03,vale,380.0,aprobado,REF-68509DF5
P-A5C6E3E463,V-FCE08F1B91,2026-09-11 17:53:03,transferencia,1260.0,aprobado,REF-DECEAA8F
P-826EA3C32A,V-8FAD34C1AA,2026-09-11 17:53:04,efectivo,160.0,pendiente,REF-E3C7BCD3
P-46ABFAD1DD,V-C581F83E2C,2026-09-11 17:53:05,transferencia,1170.0,aprobado,REF-5EDBC142
P-61CD7D4474,V-98D30364CF,2026-09-11 17:53:05,efectivo,1520.0,aprobado,REF-A299CE31
P-2E40C86AAC,V-33CBA6FAED,2026-09-11 17:53:06,tarjeta,90.0,aprobado,REF-A40B9AC5
P-CAB892585C,V-3E741F0F80,2026-09-11 17:53:06,tarjeta,90.0,aprobado,REF-5BFFFB29
P-9E76BB6AE6,V-BD0D3F215C,2026-09-11 17:53:07,vale,220.0,pendiente,REF-2ADD0247
P-8B863ECFCB,V-1EB05797EB,2026-09-11 17:53:07,efectivo,165.0,aprobado,REF-972AD846
P-0271EC0798,V-1751D7813A,2026-09-11 17:53:07,tarjeta,54.0,aprobado,REF-D8B16BC3
P-EAD6BD4A72,V-170C4FD94A,2026-09-11 17:53:07,tarjeta,64.0,aprobado,REF-0A428036
P-BED8C9F2F2,V-622C7DA449,2026-09-11 17:53:08,tarjeta,1900.0,aprobado,REF-FE296B80
P-1258C2595E,V-E191951137,2026-09-11 17:53:08,vale,1900.0,aprobado,REF-BB757CFB
P-1989C145FA,V-26F29FDB4C,2026-09-11 17:53:09,efectivo,108.0,aprobado,REF-4BE41632
P-1AB3C6BE27,V-98FE35ED65,2026-09-11 17:53:09,vale,252.0,pendiente,REF-8D897C63
P-B14444C33F,V-84FF4FE69C,2026-09-11 17:53:09,transferencia,240.0,pendiente,REF-5526A2CC
P-40B6F74AF7,V-C94C471E41,2026-09-11 17:53:09,tarjeta,18.0,aprobado,REF-506B1732
P-C4A11A39EB,V-EF93988ED0,2026-09-11 17:53:10,tarjeta,760.0,aprobado,REF-83521530
P-30413207D0,V-DE8FFAAFDE,2026-09-11 17:53:10,tarjeta,55.0,aprobado,REF-BF931093
P-C85198E3BE,V-9ED7671ACB,2026-09-11 17:53:10,transferencia,1900.0,aprobado,REF-A03FC258
P-C98EB5878D,V-A84B419AB5,2026-09-11 17:53:10,transferencia,90.0,aprobado,REF-EE906DEA
P-78F24B994C,V-61490BA7A4,2026-09-11 17:53:11,vale,135.0,aprobado,REF-B46C07EE
P-CD0A52B299,V-1FDC0F7434,2026-09-11 17:53:11,vale,42.0,aprobado,REF-73BECB2E
P-5182F1CF3B,V-74FC438C78,2026-09-11 17:53:11,vale,1900.0,aprobado,REF-1FD609DB
P-1D39D64F4D,V-A56F8041BE,2026-09-11 17:53:11,efectivo,2520.0,pendiente,REF-D0B2EB5D
P-EFE3D5924C,V-43502C5196,2026-09-11 17:53:12,vale,90.0,pendiente,REF-97CE4CF5
P-24AFB11592,V-2E4EE3E6C0,2026-09-11 17:53:12,transferencia,54.0,aprobado,REF-EFA02AB3
P-07E952B21A,V-6CA4A72F5D,2026-09-11 17:53:12,vale,32.0,aprobado,REF-137A33CE
P-63336A1913,V-E8C05F7C1C,2026-09-11 17:53:12,vale,2100.0,aprobado,REF-7916AE13
P-39D59CCB52,V-6BF8ACB4F3,2026-09-11 17:53:13,tarjeta,210.0,aprobado,REF-2A0E7A55
P-FD9BEA145F,V-A92937ADCE,2026-09-11 17:53:13,vale,420.0,pendiente,REF-ED359680
P-79C2F1030B,V-349A8DABF6,2026-09-11 17:53:13,vale,110.0,aprobado,REF-4797990D
P-B19C27F0E5,V-D186B8C713,2026-09-11 17:53:14,efectivo,110.0,aprobado,REF-F746AB01
P-C848928856,V-E6A07189AF,2026-09-11 17:53:14,tarjeta,36.0,aprobado,REF-D25C8CDF
P-DADA4DC134,V-967DA65AA6,2026-09-11 17:53:14,vale,168.0,aprobado,REF-0BCBD067
P-6BF39DF992,V-55697E26C2,2026-09-11 17:53:14,transferencia,2520.0,aprobado,REF-71CEBCBD
P-866B8FB059,V-B0EEC30E7D,2026-09-11 17:53:15,efectivo,140.0,aprobado,REF-31EEF314
P-6FFCAB04F3,V-E92C5CE520,2026-09-11 17:53:15,vale,56.0,aprobado,REF-3326ECDC
P-198CB533D5,V-88E7841A1D,2026-09-11 17:53:15,transferencia,32.0,pendiente,REF-9A8C511B
P-A50EA7A0C2,V-466A7EE9F2,2026-09-11 17:53:16,efectivo,168.0,aprobado,REF-ACE4FBEF
P-55C24C1A7D,V-BD67B1D400,2026-09-11 17:53:16,tarjeta,160.0,aprobado,REF-A6E31BC4
P-64F16F25D0,V-04F1E882DB,2026-09-11 17:53:16,tarjeta,390.0,pendiente,REF-0F20A2CF
P-700B849ABB,V-64E2B6D1FE,2026-09-11 17:53:16,tarjeta,165.0,aprobado,REF-0B087D5F
P-36E219C2CA,V-C1965668A2,2026-09-11 17:53:17,transferencia,2520.0,aprobado,REF-C6CAC507
P-32CF516522,V-C43B075373,2026-09-11 17:53:17,tarjeta,55.0,aprobado,REF-9BAD4BA9
P-0CCC1756E1,V-21778261FD,2026-09-11 17:53:17,tarjeta,168.0,aprobado,REF-8150B0EF
P-3423A58B4B,V-9036F3B45A,2026-09-11 17:53:18,tarjeta,780.0,aprobado,REF-D0B0205F
P-9F5380ACB2,V-3276C14F3B,2026-09-11 17:53:18,efectivo,45.0,aprobado,REF-DEECA807
P-D543A61FEB,V-1DD9C37DAA,2026-09-11 17:53:18,tarjeta,380.0,pendiente,REF-F328B01F
P-900BC30FF8,V-D58354335E,2026-09-11 17:53:18,tarjeta,18.0,aprobado,REF-59F772AE
P-890EFDE646,V-0A5E31B5E4,2026-09-11 17:53:19,transferencia,165.0,aprobado,REF-8B0BDE74
P-66EC5F8735,V-4EA7508523,2026-09-11 17:53:19,tarjeta,2340.0,aprobado,REF-A2626363
P-70FD6ADF60,V-8AE20C5D55,2026-09-11 17:53:19,transferencia,380.0,pendiente,REF-FF6D93AB
P-919807A57D,V-C5E8E4FBFF,2026-09-11 17:53:20,vale,84.0,aprobado,REF-A854709B
